country,iso3c,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Sudan,SDN,16.9129,16.2393,17.5247,17.6235,18.516,21.5583,23.9363,23.6627,23.6471,23.4708,21.6685,23.6032,21.4434,21.7036
Suriname,SUR,1.7497,1.9566,2.4449,2.2883,2.6212,2.7261,2.9607,2.4504,2.1512,2.6613,2.6044,2.7191,2.8628,2.496
Sweden,SWE,52.8835,48.4621,45.7287,43.9685,42.7792,42.9009,42.49,41.8362,39.6483,39.4951,38.0388,40.4785,37.7526,36.6683
Switzerland,CHE,46.3246,42.2875,43.6002,44.6067,40.8955,40.2217,40.7885,39.8183,38.5179,38.3954,35.9401,37.6301,34.4805,33.6661
Syrian Arab Republic,SYR,62.6918,58.6181,46.2477,31.195,30.9873,28.1357,25.8772,31.0807,34.0047,33.3171,31.7492,32.0363,31.1656,31.3571
Tajikistan,TJK,3.071,3.0824,3.5021,3.5939,4.7682,5.0917,5.7155,6.934,8.2044,9.0405,9.3881,9.4268,9.5606,9.3204
Tanzania,TZA,7.3333,8.8864,10.6021,11.5936,11.257,13.2034,14.1367,14.1975,14.9211,17.0037,16.677,18.9418,20.9124,21.5734
Thailand,THA,246.3596,246.7462,264.8041,275.9576,272.5228,281.4677,277.7638,281.081,276.6537,286.4704,275.6334,268.5767,284.314,275.0344
Timor-Leste,TLS,0.3344,0.3708,0.6288,0.7585,0.7441,0.6952,0.6609,0.6218,0.6666,0.7283,0.6794,0.7107,0.6946,0.6644
Togo,TGO,2.525,2.3171,2.2462,1.9314,1.7347,1.546,2.1279,1.6554,1.9363,2.1053,2.4218,2.534,2.6044,2.5313
Tonga,TON,0.1262,0.12,0.1182,0.1194,0.1318,0.1347,0.1432,0.1549,0.1474,0.1655,0.1865,0.2065,0.1614,0.1618
Trinidad and Tobago,TTO,41.0228,41.2563,38.0759,37.331,37.2008,36.7586,33.7186,32.5451,32.6228,33.2231,29.8017,28.6842,28.4989,26.9495
Tunisia,TUN,27.731,26.2639,28.2414,28.219,30.2046,30.7211,29.8618,30.2963,30.1881,30.2451,28.7185,31.0178,30.3588,31.2092
Turkiye,TUR,312.1721,332.7685,344.1578,333.874,355.3809,367.843,391.2631,433.2199,429.3432,414.4775,423.0905,460.7071,444.4077,446.4386
Turkmenistan,TKM,61.6532,66.14,68.2977,65.2746,63.2168,67.9108,67.2897,72.1708,74.2318,73.2506,76.8253,95.4323,101.2613,94.7287
Turks and Caicos Islands,TCA,0.0733,0.0559,0.058,0.0671,0.076,0.08,0.0881,0.0883,0.1897,0.2211,0.2149,0.215,0.2205,0.2212
Tuvalu,TUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,UGA,3.7998,4.2628,4.329,4.4114,4.8524,5.5954,6.0018,6.2539,6.8571,7.0646,7.1198,8.1105,7.9541,8.1166
Ukraine,UKR,315.9087,333.3052,324.9176,315.2748,269.3299,226.107,227.2461,205.5813,218.3029,207.9097,198.8972,194.1363,119.345,121.6952
United Arab Emirates,ARE,171.9529,177.2572,185.0103,195.0534,198.1138,206.8519,212.4305,204.4227,187.2853,197.8494,195.6742,199.421,195.184,192.6964
United Kingdom,GBR,500.7484,459.2066,481.3898,470.2197,430.6573,415.8847,391.8614,380.7118,373.8821,359.0131,319.6964,337.9148,324.9949,304.7866
United States,USA,5521.4993,5307.6289,5087.711,5224.7089,5243.772,5132.9841,5028.952,4959.4579,5118.3744,4967.9122,4466.8765,4754.3785,4815.7665,4618.2675
Uruguay,URY,6.4579,7.7873,8.8815,7.6589,6.7334,6.8951,6.8292,6.4073,6.871,7.1561,6.9135,8.5518,8.093,8.1908
Uzbekistan,UZB,135.8014,138.6782,123.1859,121.417,113.1595,107.5503,114.0078,118.2658,112.7949,115.1171,123.9451,134.3607,128.9082,132.6306
Vanuatu,VUT,0.1549,0.1797,0.1477,0.151,0.1753,0.1592,0.1659,0.1664,0.2288,0.219,0.2515,0.2909,0.2709,0.2717
"Venezuela, RB",VEN,176.795,172.9615,193.7941,192.9674,191.9224,175.9339,162.9378,151.96190000000001,137.7913,120.3724,76.6657,75.873,92.004,96.3903
Virgin Islands (U.S.),VIR,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4,2e-4
West Bank and Gaza,PSE,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,26.3447,23.001,22.0028,28.7881,28.3558,14.2523,10.6296,9.826,11.9933,12.3423,11.3173,11.2191,10.9841,10.6254
Zambia,ZMB,3.2126,3.4572,4.3193,4.7358,5.5061,5.848,6.3266,8.0384,9.1031,9.034,9.531,9.6802,10.5712,11.3586
Zimbabwe,ZWE,10.0686,15.8494,12.7437,12.7188,12.6001,12.6919,11.2687,10.5878,12.2724,11.1706,9.0746,10.8831,11.5572,12.566
